Seq	Cruise	yyyy.mm.ddThh.mm.ss.sss	Date_mm.dd.yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	depth_m	depthbin	Pressure	CTD.S	CTD.T	Potemp090C	CTD.O2	Oxsatperc	CTD.fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC.TON	NH4_uM	NO2_uM	NO3.NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC.PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON.TN	DOC.DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA.LNA_bacteria	smallVirus.Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m.1	a300_m.1	a351_m.1	a375_m.1	S300.650nm__um.1	R2_of_slope_fit_300.650	S275.295nm__um.1	S300.450nm__um.1	naut_tw_start	civil_tw_start	daylight_start	midnight_sun_start	mnsun_ends	daylight_ends	civil_tw_ends	naut_tw_ends	month	station
12	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	1000	meso	1013.779	34.8991	-0.2746	-0.3177	5.6755	8.10964	0.0389	0.003	28.0391	NA	0.001	NA	NA	NA	NA	NA	45	540	17.2	4.2	59.4	10.6	0.22	NA	12.74	12.96	0.97	7.85	71.84	17.96	5.99	3.31	1.68	0.24	25.31	39.01	468.16	4.003505634	56.05	0.94	9.74	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	197000	25900	13600000	2010000	661000	16300000	0.15	69.33	18.036	4.008	1040.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.01	10.02	26.02	9.04	3.09	15.1	29.1	22.11	Jan	B16
13	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	750	meso	759.842	34.8929	0.1713	0.1379	5.7142	8.01446	0.0396	0	28.0104	NA	0.001	NA	NA	NA	NA	NA	46.2	554.4	17.2	4.9	69.2	9.4	0.09	NA	12.17	12.26	0.97	6.62	60.95	19.27	5.08	2.33	0.65	0.17	30.47	41.12	493.45	4.77	66.83	0.97	8.61	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	263000	28100	13900000	2000000	665000	16500000	0.12	52.66	46.092	12.024	1356.713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
15	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	500	meso	506.565	34.9051	0.9519	0.9275	5.70604	7.8512	0.0381	0	27.9725	NA	0.002	NA	NA	NA	NA	NA	51.6	619.2	17.7	5.4	76.2	9.5	0.05	NA	12.21	12.26	0.94	6.1	58.42	5.41	4.87	2.44	0.54	0.17	27.98	46.73	560.78	5.27	73.72	0.97	8.87	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	323000	32700	12500000	2400000	742000	15600000	0.11	38.61	30.038	5.006	1494.994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
16	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	100	epi	100.722	34.5665	-0.1734	-0.1768	6.02166	8.10621	0.065	0.003	27.7652	2.075645756	0.027	NA	0.001	NA	NA	NA	54.2	650.4	16	6.2	86.2	8.8	0.5	NA	9.34	9.84	0.72	4.37	51.86	2.01	4.32	4.54	1.26	0.32	13.33	49.88	598.54	5.84	81.7	0.95	8.55	NA	NA	NA	NA	55.556	10.101	NA	NA	16	NA	NA	NA	738000	55700	19900000	4250000	1280000	25400000	0.08	26.96	45.028	11.257	2158.224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
17	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	50	epi	51.516	34.2841	-1.8284	-1.8294	6.66951	8.49451	0.0478	0.006	27.5997	11.56004489	0.015	NA	0.002	NA	NA	NA	55.9	670.8	12.7	7	98	8	0.45	NA	5.25	5.7	0.43	2.49	40.62	0.89	3.39	4.53	0.64	0.32	10.46	52.51	630.18	6.68	93.47	0.95	7.87	NA	NA	NA	NA	75.758	5.051	NA	NA	38	NA	NA	NA	747000	54400	19000000	7870000	2420000	29300000	0.08	25.42	69.505	13.15	2419.537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
18	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	30	epi	28.716	34.2802	-1.8445	-1.845	6.70653	8.49849	0.0546	0.005	27.597	8.098006645	0.015	NA	0.001	NA	NA	NA	56.7	680.4	12.6	7	97.6	8.1	0.46	NA	5.17	5.63	0.45	2.6	45.29	11.9	3.77	4.78	0.62	0.34	11.05	52.93	635.11	6.63	92.8	0.95	7.98	NA	NA	NA	NA	140.704	5.025	NA	NA	45	NA	NA	NA	1380000	141000	22600000	8440000	2610000	33600000	0.11	16.41	86.358	20.651	3562.578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
19	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	20	epi	20.7	34.2812	-1.8466	-1.847	6.6915	8.49892	0.0546	0.003	27.5979	6.76056338	0.018	NA	0.001	NA	NA	NA	58.6	703.2	12.3	7	97.6	8.4	0.42	NA	4.91	5.33	0.41	2.4	37.77	7.86	3.15	3.89	0.86	0.28	11.33	55.45	665.43	6.692280676	93.69	0.96	8.29	NA	NA	NA	NA	106.061	5.051	NA	NA	40	NA	NA	NA	781000	57100	21200000	7310000	2160000	30600000	0.08	27.1	65.122	15.028	2306.199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
20	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	10	epi	10.35	34.2854	-1.8503	-1.8505	6.7218	8.49955	0.0531	0.004	27.6013	8.624031008	0.019	NA	0.002	NA	NA	NA	55.8	669.6	12.8	7.3	101.5	7.7	0.76	NA	5.13	5.55	0.39	2.59	36.14	7.19	3.01	4.06	1.11	0.29	10.39	52.79	633.46	6.96	97.44	0.96	7.58	NA	NA	NA	NA	85.427	10.05	NA	NA	5	NA	NA	NA	825000	61500	21300000	8900000	2510000	32700000	0.08	25.8	65.748	19.411	2397.621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
21	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	5	epi	5.772	34.2879	-1.8518	-1.8519	6.73415	8.49975	0.0583	0.007	27.6034	6.049723757	0.018	NA	0.001	NA	NA	NA	53.5	642	12.6	6.7	94.4	7.9	0.46	NA	5.1	5.86	0.43	2.48	34.32	4.77	2.86	3.73	0.35	0.27	10.73	50.64	607.68	6.47	90.63	0.96	7.82	NA	NA	NA	NA	101.01	5.051	NA	NA	30	NA	NA	NA	790000	54800	22300000	7620000	2080000	32000000	0.07	28.22	56.982	13.15	2556.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
22	MP1	2014.01.16T22.42.00	10.01.14	81.77133333	19.16466667	3166	1	epi	1.342	34.2777	-1.849	-1.849	6.71858	8.49969	0.0576	14.619	27.595	5.673076923	0.015	NA	0.001	NA	NA	NA	55	660	12.3	6.7	93.4	8.2	0.49	NA	5.17	5.63	0.43	2.61	34.04	2.75	2.84	4.54	1.05	0.32	8.75	52.16	625.96	6.35	88.84	0.95	8.22	NA	NA	NA	NA	141.414	15.152	NA	NA	35	NA	NA	NA	849000	66400	17800000	6170000	1860000	25800000	0.08	20.94	69.462	12.516	2328.536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B16
45	MP1	2014.01.16T22.42.00	11.01.14	81.43066667	17.87966667	980	1000	meso	1011.967	34.9179	-0.2465	-0.2898	5.65473	8.10253	0.0396	0.307	28.0529	4.421052632	0.009	NA	4e-4	NA	NA	NA	58.8	705.6	NA	NA	NA	NA	0.17	NA	12.89	13.06	0.93	8.86	37.45	4.9	3.12	5.07	0.57	0.36	8.63	55.68	668.15	NA	NA	NA	NA	NA	NA	NA	NA	14.706	0	NA	NA	0	NA	NA	NA	495000	46000	13000000	2260000	709000	15900000	0.1	26.18	24.716	6.012	1443.554	NA	0.024944693	0.01396732	0.016852634	0.015701256	1.804263312	1.024519	0.333619	0.124046	0.080289	20.443796	0.993856	28.101366	13.703171	18.01	10.02	26.02	9.04	3.09	15.1	29.1	22.11	Jan	B08
46	MP1	2014.01.16T22.42.00	11.01.14	81.43066667	17.87966667	980	750	meso	758.68	34.9471	0.457	0.4218	5.69922	7.95133	0.0374	0.242	28.0376	11.90217391	0.011	NA	0.0014	NA	NA	NA	41.3	495.6	NA	NA	NA	NA	0.04	NA	12.6	12.64	0.9	7.99	35.1	5.65	2.92	5.28	0.73	0.38	7.76	38.38	460.5	NA	NA	NA	NA	NA	NA	NA	NA	30.303	0	NA	NA	20	NA	NA	NA	582000	51100	11300000	3140000	978000	15400000	0.1	19.44	41.518	7.158	1576.235	NA	0.022784222	0.012791424	0.016294183	0.014407172	1.817157272	1.064709	0.353082	0.143509	0.083631	20.214651	0.996837	27.909289	14.965849	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B08
47	MP1	2014.01.16T22.42.00	11.01.14	81.43066667	17.87966667	980	500	meso	506.757	35.032	2.2839	2.2539	5.7839	7.58022	0.0381	0.079	27.9741	8.594164456	0.014	NA	0.0012	NA	NA	NA	32.1	385.2	NA	NA	NA	NA	0.03	NA	11.13	11.16	0.79	5.56	27.57	8.07	2.3	3.21	1.58	0.23	10.02	29.8	357.63	NA	NA	NA	NA	NA	NA	NA	NA	5.051	0	NA	NA	25	NA	NA	NA	772000	60500	14400000	4870000	1310000	20600000	0.09	18.65	61.991	11.271	1866.625	NA	0.02158439	0.01059074	0.015981911	0.021019019	1.885662888	1.097492	0.330593	0.107202	0.079566	21.652942	0.993237	31.88522	15.952148	NA	NA	NA	NA	NA	NA	NA	NA	Jan	B08
